idclient,idtelegram,firstname,secondname,username,phone
1,467804887,Дима,Дзундза,RaxFord1,+380730342572
2,744561231,Дима,Сюсюра,NightFury,+380421354845
3,412435979,Dima,Dzundza,RaxFord,+380450623546
4,467804806,An0n1myS,None,An0n1myS,+380545542313
5,467804807,Анатолий,Дробаков,Juliuy,+380730543412
6,467804808,Пётр,Горошек,Shshas,+380541235423
7,467804809,Сергей,Лобалюб,Urda,+380854236512
8,467804810,Каролина,Гирвин,OpDarWin,+380368756213
9,467805206,Олекса,Олегна,Tesla,+073512348836
10,567804806,Олег,Огурец,ONeT,+380546548999
11,757804806,Костя,Гурко,dotNet,+380542315452
12,877804806,Илья,Ключко,Wow,+380154621354
